SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
5,MFGreen,969,40,1
5,FGGreen_1,729,41,0
5,FHGrey,733,41,0
5,FIGrey,661,41,0
5,MGBlue,734,41,1
5,FEOrange,1040,43,0
5,FIGrey_1,657,43,0
5,MGBlue,963,43,1
5,MHYellow,660,43,1
5,FEOrange,1040,45,0
5,FHGrey,730,45,0
5,FHGrey,925,46,0
5,FIGrey,775,48,0
5,FIGrey,846,49,0
5,FIRed,663,49,0
5,MGBlue,1001,49,1
5,MDRed,704,50,1
5,FIGrey,853,51,0
5,MDRed,1002,51,1
5,MGBlue,887,51,1
5,MHYellow,769,52,1
5,MDRed,1003,57,1
5,FIGrey,665,58,0
5,FEOrange,1041,59,0
5,FHGreen_1,745,59,0
5,MHYellow,780,59,1
6,MGBlue,853,1,1
6,MGBlue,887,3,1
6,FDPurple,664,4,0
6,MEEBlack,744,4,1
6,MGBlue,778,4,1
6,FDPurple,701,5,0
6,FHOrange,702,5,0
6,MDRed,657,5,1
6,FDPurple,702,6,0
6,FEOrange,1078,6,0
6,MDRed,768,6,1
6,FHOrange,701,7,0
6,FIRed,701,7,0
6,MDDBlack,767,7,1
6,MDRed,767,7,1
6,MHHBlack,702,7,1
6,FHGrey,809,8,0
6,FHOrange,663,8,0
6,MDRed,701,8,1
6,MFFBlack,663,8,1
6,MHHBlack,663,8,1
6,MIGreen,806,8,1
6,FDPurple,741,9,0
6,FHOrange,739,9,0
6,MFFBlack,739,9,1
6,FDPurple,777,10,0
6,FHOrange,626,10,0
6,FHPurple,776,10,0
6,FIRed,663,10,0
6,MFFBlack,626,10,1
6,MHHBlack,776,10,1
6,MIGreen,729,10,1
6,FHPurple,777,11,0
6,MFFBlack,651,11,1
6,FDPurple,625,12,0
6,FHOrange,703,12,0
6,FIRed,625,12,0
6,MDRed,703,12,1
6,MFFBlack,624,12,1
6,FHGrey,769,13,0
6,FHGrey,769,14,0
6,FHPurple,851,14,0
6,MFFBlack,620,14,1
6,MIIBlack,739,15,1
6,FHPurple,739,16,0
6,FIRed,740,16,0
6,MFFBlack,739,16,1
6,MIIBlack,739,16,1
6,FHPurple,815,17,0
6,MDRed,815,17,1
6,FIRed,702,18,0
6,FHPurple,815,19,0
6,FIRed,665,19,0
6,MHHBlack,815,20,1
6,FDPurple,739,21,0
6,FDRed,638,21,0
6,MDRed,730,21,1
6,FDRed,639,22,0
6,FHGrey,731,22,0
6,MDRed,769,22,1
6,FDPurple,703,23,0
6,FHPurple,742,23,0
6,MDRed,664,23,1
6,FDRed,635,24,0
6,FHPurple,815,24,0
6,FDRed,598,25,0
6,FHGreen,825,25,0
6,FHPurple,853,25,0
6,MGGBlack,825,25,1
6,MIGreen,776,25,1
6,FHPurple,775,26,0
6,MGGBlack,825,26,1
6,FHPurple,778,27,0
6,MIIBlack,597,27,1
6,FEOrange,1079,28,0
6,MDRed,767,28,1
6,MHHBlack,704,28,1
6,MIIRed,1079,28,1
6,FIGrey,731,29,0
6,MFFBlack,735,29,1
6,FHGrey,734,30,0
6,MDRed,854,31,1
6,MHGrey,672,31,1
6,FDPurple,628,32,0
6,FDPurple,624,33,0
6,FGPurple,329,34,0
6,FEOrange,1041,35,0
6,FHGrey,768,35,0
6,MIGreen_1,730,35,1
6,FDPurple,666,36,0
6,FHOrange,628,36,0
6,FHPurple,769,36,0
6,MFFBlack,769,36,1
6,MIGreen,891,36,1
6,MIIRed,769,36,1
6,FDPurple,743,37,0
6,FHGrey,807,37,0
6,FIRed,665,37,0
6,MIGreen,768,37,1
6,FDPurple,704,38,0
6,FHOrange,628,38,0
6,MDRed,628,38,1
6,MFFBlack,806,38,1
6,MHGrey,556,39,1
6,FDPurple,703,40,0
6,MFFBlack,704,40,1
6,MIIRed,779,40,1
6,FIGrey,850,41,0
6,FIRed,742,41,0
6,MHHBlack,665,41,1
6,MIIRed,1078,42,1
6,FHGrey,770,43,0
6,MHHBlack,777,43,1
6,MIIRed,816,43,1
6,FDPurple,666,44,0
6,FHGrey,769,44,0
6,MDRed,810,44,1
6,MIGreen,772,44,1
6,MIIRed,628,44,1
6,FEOrange,926,45,0
6,FIGrey,769,45,0
6,MIGreen,844,45,1
6,FHGrey,769,46,0
6,FIGrey,776,47,0
6,FHOrange,627,48,0
6,MIIRed,928,48,1
6,MIIRed,742,50,1
7,FEEBlue,806,2,0
7,MIGreen,806,2,1
7,FAABlack,771,3,0
7,FBBBlack,768,3,0
7,FHOrange,710,3,0
7,MAABlue,703,3,1
7,MBBBlue,809,3,1
7,MHHBlack,889,3,1
7,FCCBlack,703,4,0
7,FHOrange,748,4,0
7,MCCBlue,927,4,1
7,MDDBlue,767,4,1
7,MIGreen,927,4,1
7,FCCBlack,628,6,0
7,FEEBlue,806,6,0
7,FHPurple,891,6,0
7,FIGrey,768,6,0
7,MCCBlue,891,6,1
7,FHOrange,670,7,0
7,MFFBlue,702,7,1
7,MFFBlue,703,8,1
7,FAPurple,772,9,0
7,FEEBlue,809,9,0
7,FIGrey,853,9,0
7,MFFBlue,772,9,1
7,FAPurple,1341,10,0
7,FEEBlue,695,10,0
