"Title: Habitat and predator heterogeneity influence density of a declining mammal. Habitat composition (2015–2022) used in the density modelling of hedgehogs at Brackenhurst, Southwell, England. X and Y indicate the longitude/1000 and latitude/1000 (EPSG:27700) of the centroid of the 50 x 50 m grid cell, respectively; d2build and d2badger indicate euclidean distance (m) from the centroid of the 50 x 50 m grid cell to the nearest building and to the nearest badger sett, respectively; edge_length refers to edge density, the total length (m) of all types of edges within each  50 x 50 m grid cell. BUILDING, BADGER, and EDGE indicate the standardised z-score values of d2build,  d2badger, and edge_length, respectively. SOIL: Soil types (categorical: type 0, low permeability, and type 1, high permeability). LANDUSE: Land use (categorical: 0, arable; 1, amenity; 2, pasture).",,,,,,,,,
X,Y,d2build,d2badger,edge_length,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.5009048,353.0890519,155.535917,55.154946,1.338603,-0.650627102,-1.952582606,-0.777550042,0,Arable
469.5509048,353.0890519,114.957834,23.080058,34.253519,-0.817116014,-2.071218155,0.592649281,0,Arable
469.6009048,353.0890519,85.083405,54.984635,92.04945,-0.939688615,-1.953212537,2.998608589,0,Arable
469.6509048,353.0890519,76.365377,102.537462,37.169393,-0.975458046,-1.777328657,0.714032829,0,Arable
469.7009048,353.0890519,86.529771,151.672516,15.386747,-0.933754279,-1.595592587,-0.192746535,0,Arable
469.7509048,353.0890519,96.7078,201.234125,52.448303,-0.89199457,-1.412278815,1.35007143,0,Amenity
469.8009048,353.0890519,88.384585,250.969707,37.541002,-0.926144115,-1.228321569,0.729502499,0,Arable
469.8509048,353.0890519,104.508661,300.792977,0,-0.859988208,-1.044039991,-0.833274126,0,Pasture
469.9009048,353.0890519,83.845178,350.66656,0,-0.944768972,-0.85957232,-0.833274126,0,Pasture
469.9509048,353.0890519,76.491512,400.571663,0,-0.974940526,-0.674988065,-0.833274126,0,Pasture
470.0009048,353.0890519,98.345762,377.343481,0,-0.885274131,-0.760902259,-0.833274126,0,Pasture
470.0509048,353.0890519,135.988332,348.53808,27.75706,-0.730829414,-0.867444939,0.322211325,0,Pasture
470.1009048,353.0890519,179.760296,324.91458,13.965197,-0.551236241,-0.954821297,-0.251923591,0,Pasture
470.1509048,353.0890519,225.88507,307.668937,15.933359,-0.361989661,-1.018607843,-0.169991866,0,Arable
470.2009048,353.0890519,272.642993,297.910835,0,-0.170145314,-1.054700184,-0.833274126,0,Arable
