grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9
295,470.5009048,351.5390519,0,0,0,0,0,0,0,0,0
296,470.5509048,351.5390519,0,0,0,0,0,0,0,0,0
297,470.6009048,351.5390519,0,0,0,0,0,0,0,0,0
298,470.6509048,351.5390519,0,0,0,0,0,0,0,0,0
299,470.7009048,351.5390519,0,0,0,0,0,0,0,0,0
300,470.7509048,351.5390519,0,0,0,0,0,0,0,0,0
301,470.8009048,351.5390519,0,0,0,0,0,0,0,0,0
302,470.8509048,351.5390519,0,0,0,0,0,0,0,0,0
310,469.3509048,351.5890519,0,0,0,0,0,0,0,0,0
311,469.4009048,351.5890519,0,0,0,0,0,0,0,0,0
312,469.4509048,351.5890519,0,0,0,0,0,0,0,0,0
313,469.5009048,351.5890519,0,0,0,0,0,0,0,0,0
314,469.5509048,351.5890519,0,0,0,0,0,0,0,0,0
315,469.6009048,351.5890519,0,0,0,0,0,0,0,0,0
316,469.6509048,351.5890519,0,0,0,0,0,0,0,0,0
317,469.7009048,351.5890519,0,0,0,0,0,0,0,0,0
318,469.7509048,351.5890519,0,0,0,0,0,0,0,0,0
319,469.8009048,351.5890519,0,0,0,0,0,0,0,0,0
320,469.8509048,351.5890519,0,0,0,0,0,0,0,0,0
321,469.9009048,351.5890519,0,0,0,0,0,0,0,0,0
322,469.9509048,351.5890519,0,0,0,0,0,0,0,0,0
323,470.0009048,351.5890519,0,0,0,0,0,0,0,0,0
324,470.0509048,351.5890519,0,0,0,0,0,0,0,0,0
325,470.1009048,351.5890519,0,0,0,0,0,0,0,0,0
326,470.1509048,351.5890519,0,0,0,0,0,0,0,0,0
327,470.2009048,351.5890519,0,0,0,0,0,0,0,0,0
328,470.2509048,351.5890519,0,0,0,0,0,0,0,0,0
329,470.3009048,351.5890519,0,0,0,0,0,0,0,0,0
330,470.3509048,351.5890519,0,0,0,0,0,0,0,0,0
331,470.4009048,351.5890519,0,0,0,0,0,0,0,0,0
332,470.4509048,351.5890519,0,0,0,0,0,0,0,0,0
333,470.5009048,351.5890519,0,0,0,0,0,0,0,0,0
334,470.5509048,351.5890519,0,0,0,0,0,0,0,0,0
335,470.6009048,351.5890519,0,0,0,0,0,0,0,0,0
336,470.6509048,351.5890519,0,0,0,0,0,0,0,0,0
337,470.7009048,351.5890519,0,0,0,0,0,0,0,0,0
338,470.7509048,351.5890519,0,0,0,0,0,0,0,0,0
339,470.8009048,351.5890519,0,0,0,0,0,0,0,0,0
340,470.8509048,351.5890519,0,0,0,0,0,0,0,0,0
341,470.9009048,351.5890519,0,0,0,0,0,0,0,0,0
348,469.3509048,351.6390519,0,0,0,0,0,0,0,0,0
349,469.4009048,351.6390519,0,0,0,0,0,0,0,0,0
350,469.4509048,351.6390519,0,0,0,0,0,0,0,0,0
351,469.5009048,351.6390519,0,0,0,0,0,0,0,0,0
352,469.5509048,351.6390519,0,0,0,0,0,0,0,0,0
353,469.6009048,351.6390519,0,0,0,0,0,0,0,0,0
354,469.6509048,351.6390519,0,0,0,0,0,0,0,0,0
355,469.7009048,351.6390519,0,0,0,0,0,0,0,0,0
356,469.7509048,351.6390519,0,0,0,0,0,0,0,0,0
357,469.8009048,351.6390519,0,0,0,0,0,0,0,0,0
358,469.8509048,351.6390519,0,0,0,0,0,0,0,0,0
359,469.9009048,351.6390519,0,0,0,0,0,0,0,0,0
360,469.9509048,351.6390519,0,0,0,0,0,0,0,0,0
361,470.0009048,351.6390519,0,0,0,0,0,0,0,0,0
362,470.0509048,351.6390519,0,0,0,0,0,0,0,0,0
363,470.1009048,351.6390519,0,0,0,0,0,0,0,0,0
364,470.1509048,351.6390519,0,0,0,0,0,0,0,0,0
365,470.2009048,351.6390519,0,0,0,0,0,0,0,0,0
366,470.2509048,351.6390519,0,0,0,0,0,0,0,0,0
367,470.3009048,351.6390519,0,0,0,0,0,0,0,0,0
368,470.3509048,351.6390519,0,0,0,0,0,0,0,0,0
369,470.4009048,351.6390519,0,0,0,0,0,0,0,0,0
370,470.4509048,351.6390519,0,0,0,0,0,0,0,0,0
371,470.5009048,351.6390519,0,0,0,0,0,0,0,0,0
372,470.5509048,351.6390519,0,0,0,0,0,0,0,0,0
373,470.6009048,351.6390519,0,0,0,0,0,0,0,0,0
374,470.6509048,351.6390519,0,0,0,0,0,0,0,0,0
375,470.7009048,351.6390519,0,0,0,0,0,0,0,0,0
376,470.7509048,351.6390519,0,0,0,0,0,0,0,0,0
377,470.8009048,351.6390519,0,0,0,0,0,0,0,0,0
378,470.8509048,351.6390519,0,0,0,0,0,0,0,0,0
379,470.9009048,351.6390519,0,0,0,0,0,0,0,0,0
385,469.3009048,351.6890519,0,0,0,0,0,0,0,0,0
386,469.3509048,351.6890519,0,0,0,0,0,0,0,0,0
387,469.4009048,351.6890519,0,0,0,0,0,0,0,0,0
388,469.4509048,351.6890519,0,0,0,0,0,0,0,0,0
389,469.5009048,351.6890519,0,0,0,0,0,0,0,0,0
390,469.5509048,351.6890519,0,0,0,0,0,0,0,0,0
391,469.6009048,351.6890519,0,0,0,0,0,0,0,0,0
392,469.6509048,351.6890519,0,0,0,0,0,0,0,0,0
393,469.7009048,351.6890519,0,0,0,0,0,0,0,0,0
394,469.7509048,351.6890519,0,0,0,0,0,0,0,0,0
395,469.8009048,351.6890519,0,0,0,0,0,0,0,0,0
396,469.8509048,351.6890519,0,0,0,0,0,0,0,0,0
397,469.9009048,351.6890519,0,0,0,0,0,0,0,0,0
398,469.9509048,351.6890519,0,0,0,0,0,0,0,0,0
399,470.0009048,351.6890519,0,0,0,0,0,0,0,0,0
400,470.0509048,351.6890519,0,0,0,0,0,0,0,0,0
401,470.1009048,351.6890519,0,0,0,0,0,0,0,0,0
402,470.1509048,351.6890519,0,0,0,0,0,0,0,0,0
403,470.2009048,351.6890519,0,0,0,0,0,0,0,0,0
404,470.2509048,351.6890519,0,0,0,0,0,0,0,0,0
405,470.3009048,351.6890519,0,0,0,0,0,0,0,0,0
406,470.3509048,351.6890519,0,0,0,0,0,0,0,0,0
407,470.4009048,351.6890519,0,0,0,0,0,0,0,0,0
408,470.4509048,351.6890519,0,0,0,0,0,0,0,0,0
409,470.5009048,351.6890519,0,0,0,0,0,0,0,0,0
410,470.5509048,351.6890519,0,0,0,0,0,0,0,0,0
411,470.6009048,351.6890519,0,0,0,0,0,0,0,0,0
414,470.7509048,351.6890519,0,0,0,0,0,0,0,0,0
415,470.8009048,351.6890519,0,0,0,0,0,0,0,0,0
416,470.8509048,351.6890519,0,0,0,0,0,0,0,0,0
422,469.2509048,351.7390519,0,0,0,0,0,0,0,0,0
423,469.3009048,351.7390519,0,0,0,0,0,0,0,0,0
424,469.3509048,351.7390519,0,0,0,0,0,0,0,0,0
425,469.4009048,351.7390519,0,0,0,0,0,0,0,0,0
426,469.4509048,351.7390519,0,0,0,0,0,0,0,0,0
427,469.5009048,351.7390519,0,0,0,0,0,0,0,0,0
428,469.5509048,351.7390519,0,0,0,0,0,0,0,0,0
429,469.6009048,351.7390519,0,0,0,0,0,0,0,0,0
430,469.6509048,351.7390519,0,0,0,0,0,0,0,0,0
431,469.7009048,351.7390519,0,0,0,0,0,0,0,0,0
432,469.7509048,351.7390519,0,0,0,0,0,0,0,0,0
433,469.8009048,351.7390519,0,0,0,0,0,0,0,0,0
434,469.8509048,351.7390519,0,0,0,0,0,0,0,0,0
435,469.9009048,351.7390519,0,0,0,0,0,0,0,0,0
436,469.9509048,351.7390519,0,0,0,0,0,0,0,0,0
437,470.0009048,351.7390519,0,0,0,0,0,0,0,0,0
438,470.0509048,351.7390519,1,1,1,1,1,1,1,1,1
439,470.1009048,351.7390519,1,1,1,1,1,1,1,1,1
440,470.1509048,351.7390519,1,1,1,1,1,1,1,1,1
441,470.2009048,351.7390519,0,0,0,0,0,0,0,0,0
442,470.2509048,351.7390519,0,0,0,0,0,0,0,0,0
443,470.3009048,351.7390519,0,0,0,0,0,0,0,0,0
444,470.3509048,351.7390519,0,0,0,0,0,0,0,0,0
445,470.4009048,351.7390519,0,0,0,0,0,0,0,0,0
446,470.4509048,351.7390519,0,0,0,0,0,0,0,0,0
447,470.5009048,351.7390519,0,0,0,0,0,0,0,0,0
448,470.5509048,351.7390519,0,0,0,0,0,0,0,0,0
453,470.8009048,351.7390519,0,0,0,0,0,0,0,0,0
454,470.8509048,351.7390519,0,0,0,0,0,0,0,0,0
460,469.2509048,351.7890519,0,0,0,0,0,0,0,0,0
