X,Y,d2build_km,d2badger_km,edge_length_km,BUILDING,BADGER,EDGE,SOIL,LANDUSE
469.7009048,353.0890519,0.086529771,0.151672516,0.015386747,-0.933754279,-1.776265968,-0.192746535,0,Arable
469.7509048,353.0890519,0.0967078,0.201234125,0.052448303,-0.89199457,-1.606998465,1.35007143,0,Amenity
469.8009048,353.0890519,0.088384585,0.250969707,0.037541002,-0.926144115,-1.437136793,0.729502499,0,Arable
469.8509048,353.0890519,0.104508661,0.300792977,0,-0.859988208,-1.266975642,-0.833274126,0,Pasture
469.9009048,353.0890519,0.083845178,0.35066656,0,-0.944768972,-1.096642659,-0.833274126,0,Pasture
469.9509048,353.0890519,0.076491512,0.400571663,0,-0.974940526,-0.926202023,-0.833274126,0,Pasture
470.0009048,353.0890519,0.098345762,0.377343481,0,-0.885274131,-1.00553311,-0.833274126,0,Pasture
470.0509048,353.0890519,0.135988332,0.34853808,0.02775706,-0.730829414,-1.103912043,0.322211325,0,Pasture
470.1009048,353.0890519,0.179760296,0.32491458,0.013965197,-0.551236241,-1.18459326,-0.251923591,0,Pasture
470.1509048,353.0890519,0.22588507,0.307668937,0.015933359,-0.361989661,-1.243492212,-0.169991866,0,Arable
470.2009048,353.0890519,0.272642993,0.297910835,0,-0.170145314,-1.276819007,-0.833274126,0,Arable
470.2509048,353.0890519,0.320364162,0.296380763,0.034631312,0.025651155,-1.282044656,0.608376384,0,Arable
470.3009048,353.0890519,0.368689829,0.30320331,0.026611742,0.223927843,-1.258743645,0.274533421,0,Arable
470.3509048,353.0890519,0.417410091,0.317841058,0,0.423823522,-1.208751423,-0.833274126,0,Arable
470.4009048,353.0890519,0.466401306,0.339283994,0.000218464,0.624830901,-1.135517475,-0.824179769,0,Arable
470.4509048,353.0890519,0.515586242,0.366339077,0.022806026,0.826633101,-1.043116392,0.116107076,0,Arable
470.5009048,353.0890519,0.5649143,0.397863055,0.004798549,1.029022525,-0.935452718,-0.633517623,0,Pasture
470.5509048,353.0890519,0.614351008,0.432880701,0.043523699,1.231857728,-0.815857136,0.978553355,0,Pasture
470.6009048,353.0890519,0.663872093,0.470612783,0.033587448,1.435039123,-0.686990953,0.564921796,0,Pasture
470.6509048,353.0890519,0.701183283,0.510457719,0.058066849,1.588124213,-0.550908755,1.583963156,0,Amenity
470.7009048,353.0890519,0.737234452,0.551958126,0.024740864,1.73603953,-0.409172631,0.196651578,0,Amenity
470.7509048,353.0890519,0.774836292,0.594767571,0.030325806,1.890317133,-0.262965759,0.429144472,0,Pasture
470.8009048,353.0890519,0.813773876,0.638622858,0.02829089,2.050075197,-0.11318703,0.344433904,0,Pasture
470.8509048,353.0890519,0.853864487,0.683322651,0.023455046,2.214564049,0.039475938,0.143124849,0,Arable
470.9009048,353.0890519,0.882142291,0.728711559,0,2.330585814,0.194492436,-0.833274126,0,Arable
469.1009048,353.0390519,0.534451665,0.450898119,0.025735632,0.904036556,-0.754322344,0.238062277,0,Arable
