grid_50m_ID,X,Y,SO.1,SO.2,SO.3,SO.4,SO.5,SO.6,SO.7,SO.8,SO.9,SO.10,SO.11,SO.12,SO.13,SO.14,sep,hab
249,470.1009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
250,470.1509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
251,470.2009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
252,470.2509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
253,470.3009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
254,470.3509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
255,470.4009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
256,470.4509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
257,470.5009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
258,470.5509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
259,470.6009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
260,470.6509048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
261,470.7009048,351.4890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
273,469.4009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
274,469.4509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
275,469.5009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
276,469.5509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
277,469.6009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
278,469.6509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
279,469.7009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
280,469.7509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
281,469.8009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
282,469.8509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
283,469.9009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
284,469.9509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
285,470.0009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
286,470.0509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
287,470.1009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
288,470.1509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
289,470.2009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
290,470.2509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
291,470.3009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
292,470.3509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
293,470.4009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
294,470.4509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
295,470.5009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
296,470.5509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
297,470.6009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
298,470.6509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
299,470.7009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
300,470.7509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
301,470.8009048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
302,470.8509048,351.5390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
310,469.3509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
311,469.4009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
312,469.4509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
313,469.5009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
314,469.5509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
315,469.6009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
316,469.6509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
317,469.7009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
318,469.7509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
319,469.8009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
320,469.8509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
321,469.9009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
322,469.9509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
323,470.0009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
324,470.0509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
325,470.1009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
326,470.1509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Amenity
327,470.2009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
328,470.2509048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
329,470.3009048,351.5890519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,Pasture
